year,records
1930,4
1931,3
1932,1
1933,1
1934,1
1935,2
1936,3
1937,1
1939,3
1940,1
1941,3
1942,5
1943,10
1944,14
1945,14
1946,9
1947,40
1948,11
1949,19
1950,32
1951,25
1952,52
1953,36
1954,57
1955,38
1956,50
1957,78
1958,58
1959,61
1960,73
1961,57
1962,79
1963,90
1964,112
1965,209
1966,227
1967,223
1968,252
1969,185
1970,171
1971,140
1972,196
1973,255
1974,311
1975,355
1976,323
1977,299
1978,380
1979,287
1980,280
1981,202
1982,209
1983,181
1984,205
1985,246
1986,218
1987,261
1988,274
1989,281
1990,300
1991,265
1992,282
1993,357
1994,476
1995,1236
1996,973
1997,1407
1998,1971
1999,3103
2000,2719
2001,3081
2002,3609
2003,4354
2004,4346
2005,4429
2006,3646
2007,4657
2008,4720
2009,4413
2010,2973
2011,3728
2012,5601
2013,7140
2014,7613
2015,6098
2016,833
