State,Latitude,Longitude,Records
VI,17.74,-64.803,1
PR,18.24,-66.64,35
HI,20.79,-156.34,419
FL,28.42,-81.55,5016
Fl,28.42,-81.55,4
LA,31,-92,733
TX,31.25,-99.25,4122
MS,32.75,-89.75,492
GA,32.75,-83.5,1609
AL,32.75,-86.75,844
SC,34,-81,1301
NM,34.5,-106,1002
AZ,34.5,-111.5,3246
AR,34.75,-92.5,746
OK,35.5,-97.5,872
NC,35.5,-80,2154
TN,35.75,-86.25,1372
CA,37.25,-119.75,10861
Ca,37.25,-119.75,1
VA,37.77,-78.24,1649
KY,37.79,-84.87,1013
MO,38.25,-92.5,1722
KS,38.5,-98.5,727
WV,38.63,-80.73,578
DC,38.91,-77,103
DE,39,-75.49,216
CO,39,-105.5,1816
MD,39.02,-76.63,1097
UT,39.25,-111.75,829
NV,39.25,-116.75,1093
IN,40,-86.25,1568
IL,40,-89.25,2874
NJ,40.16,-74.49,1706
OH,40.25,-83,2755
PA,40.86,-77.9,2964
NE,41.5,-99.75,426
CT,41.66,-72.66,1079
RI,41.75,-71.49,355
IA,42,-93.5,791
MA,42.33,-71.82,1558
WY,43,-107.5,238
NY,43,-75.49,3653
NH,43.66,-71.49,682
VT,44,-72.74,369
OR,44,-120.5,2188
ID,44.0739,-114.542,701
MI,44.25,-85.5,2277
WI,44.5,-90,1489
SD,44.5,-100.25,222
ME,45.5,-69.24,710
MN,46.25,-94.25,1248
MT,47,-109.75,607
WA,47.5,-120.5,4685
ND,47.5,-100,160
AK,64,-150,426
