word,tokens
light,light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light light
object,object object object object object object object object object object object object object object object object object object object
sky,sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky sky
bright,bright bright bright bright bright bright bright bright bright bright bright bright bright bright
move,move move move move move move move move move move move move move
shape,shape shape shape shape shape shape shape shape shape shape
orang,orang orang orang orang orang orang orang orang orang
white,white white white white white white white white
red,red red red red red red red red
saw,saw saw saw saw saw saw saw
craft,craft craft craft craft craft craft
fli,fli fli fli fli fli fli
like,like like like like like
seen,seen seen seen seen seen
hover,hover hover hover hover hover
ufo,ufo ufo ufo ufo ufo
look,look look look look
star,star star star star
two,two two two two
larg,larg larg larg larg
green,green green green green
flash,flash flash flash flash
night,night night night night
sight,sight sight sight sight
one,one one one
blue,blue blue blue
across,across across across
disappear,disappear disappear disappear
triangl,triangl triangl triangl
appear,appear appear appear
north,north north north
color,color color color
fast,fast fast fast
ball,ball ball ball
travel,travel travel travel
west,west west west
east,east east east
format,format format format
south,south south south
speed,speed speed speed
note,note note note
nuforc,nuforc nuforc nuforc
glow,glow glow glow
pd,pd pd pd
firebal,firebal firebal firebal
orb,orb orb orb
high,high high
slowli,slowli slowli
three,three three
sound,sound sound
low,low low
triangular,triangular triangular
sphere,sphere sphere
chang,chang chang
wit,wit wit
around,around around
silent,silent silent
strang,strang strang
direct,direct direct
observ,observ observ
round,round round
minut,minut minut
near,near near
