event_date,records
01-Jan-15,54
02-Jan-15,16
03-Jan-15,15
04-Jan-15,9
05-Jan-15,13
06-Jan-15,10
07-Jan-15,15
08-Jan-15,22
09-Jan-15,19
10-Jan-15,22
11-Jan-15,27
12-Jan-15,12
13-Jan-15,12
14-Jan-15,11
15-Jan-15,18
16-Jan-15,21
17-Jan-15,25
18-Jan-15,20
19-Jan-15,19
20-Jan-15,13
21-Jan-15,11
22-Jan-15,11
23-Jan-15,15
24-Jan-15,18
25-Jan-15,13
26-Jan-15,14
27-Jan-15,16
28-Jan-15,17
29-Jan-15,15
30-Jan-15,13
31-Jan-15,19
01-Feb-15,15
02-Feb-15,10
03-Feb-15,21
04-Feb-15,10
05-Feb-15,16
06-Feb-15,18
07-Feb-15,11
08-Feb-15,15
09-Feb-15,7
10-Feb-15,11
11-Feb-15,18
12-Feb-15,12
13-Feb-15,5
14-Feb-15,9
15-Feb-15,16
16-Feb-15,4
17-Feb-15,14
18-Feb-15,16
19-Feb-15,9
20-Feb-15,10
21-Feb-15,13
22-Feb-15,9
23-Feb-15,21
24-Feb-15,12
25-Feb-15,9
26-Feb-15,10
27-Feb-15,6
28-Feb-15,10
01-Mar-15,11
02-Mar-15,8
03-Mar-15,7
04-Mar-15,9
05-Mar-15,17
06-Mar-15,26
07-Mar-15,14
08-Mar-15,23
09-Mar-15,17
10-Mar-15,8
11-Mar-15,22
12-Mar-15,33
13-Mar-15,15
14-Mar-15,21
15-Mar-15,21
16-Mar-15,16
17-Mar-15,19
18-Mar-15,19
19-Mar-15,10
20-Mar-15,14
21-Mar-15,22
22-Mar-15,11
23-Mar-15,11
24-Mar-15,13
25-Mar-15,11
26-Mar-15,7
27-Mar-15,17
28-Mar-15,20
29-Mar-15,9
30-Mar-15,10
31-Mar-15,13
01-Apr-15,23
02-Apr-15,12
03-Apr-15,19
04-Apr-15,18
05-Apr-15,19
06-Apr-15,11
07-Apr-15,12
08-Apr-15,10
09-Apr-15,8
10-Apr-15,12
11-Apr-15,27
12-Apr-15,25
13-Apr-15,8
14-Apr-15,15
15-Apr-15,21
16-Apr-15,15
17-Apr-15,15
18-Apr-15,25
19-Apr-15,15
20-Apr-15,8
21-Apr-15,6
22-Apr-15,21
23-Apr-15,14
24-Apr-15,12
25-Apr-15,12
26-Apr-15,19
27-Apr-15,11
28-Apr-15,15
29-Apr-15,5
30-Apr-15,10
01-May-15,36
02-May-15,20
03-May-15,12
04-May-15,4
05-May-15,7
06-May-15,18
07-May-15,16
08-May-15,18
09-May-15,19
10-May-15,19
11-May-15,10
12-May-15,12
13-May-15,14
14-May-15,6
15-May-15,13
16-May-15,10
17-May-15,20
18-May-15,12
19-May-15,14
20-May-15,7
21-May-15,13
22-May-15,13
23-May-15,20
24-May-15,27
25-May-15,10
26-May-15,9
27-May-15,13
28-May-15,17
29-May-15,15
30-May-15,27
31-May-15,5
01-Jun-15,16
02-Jun-15,11
03-Jun-15,13
04-Jun-15,13
05-Jun-15,21
06-Jun-15,20
07-Jun-15,19
08-Jun-15,19
09-Jun-15,9
10-Jun-15,16
11-Jun-15,15
12-Jun-15,13
13-Jun-15,23
14-Jun-15,15
15-Jun-15,14
16-Jun-15,10
17-Jun-15,14
18-Jun-15,14
19-Jun-15,20
20-Jun-15,15
21-Jun-15,13
22-Jun-15,30
23-Jun-15,18
24-Jun-15,10
25-Jun-15,11
26-Jun-15,16
27-Jun-15,11
28-Jun-15,11
29-Jun-15,32
30-Jun-15,13
01-Jul-15,26
02-Jul-15,23
03-Jul-15,31
04-Jul-15,172
05-Jul-15,20
06-Jul-15,5
07-Jul-15,7
08-Jul-15,10
09-Jul-15,16
10-Jul-15,15
11-Jul-15,39
12-Jul-15,23
13-Jul-15,13
14-Jul-15,15
15-Jul-15,12
16-Jul-15,18
17-Jul-15,16
18-Jul-15,17
19-Jul-15,15
20-Jul-15,19
21-Jul-15,13
22-Jul-15,21
