State,EventDate,Duration,Shape
CA,2016-03-03,44.0,circle
OH,2016-03-03,34.0,triangle
VT,2016-03-03,44.0,changing
CO,2016-03-03,4.0,unknown
NY,2016-03-03,39.0,chevron
RI,2016-03-02,2.0,light
OH,2016-03-02,5.0,triangle
PA,2016-03-02,44.0,fireball
KY,2016-03-02,3.0,cylinder
AZ,2016-03-02,12.0,formation
PA,2016-03-02,27.0,light
AZ,2016-03-02,5.0,cylinder
MB,2016-03-02,27.0,circle
NY,2016-03-02,41.0,fireball
AZ,2016-03-02,2.0,unknown
AZ,2016-03-02,4.0,light
AZ,2016-03-02,39.0,light
MD,2016-03-02,44.0,oval
AZ,2016-03-02,3.0,formation
FL,2016-03-01,33.0,triangle
AZ,2016-03-01,45.0,triangle
FL,2016-03-01,20.0,unknown
MO,2016-03-01,22.0,formation
CA,2016-03-01,23.0,changing
NY,2016-03-01,48.0,sphere
CA,2016-03-01,42.0,light
MN,2016-03-01,37.0,cigar
NV,2016-03-01,11.0,fireball
CA,2013-02-28,12.0,chevron
TX,2013-02-28,48.0,light
CA,2013-02-28,36.0,sphere
SC,2013-02-28,24.0,light
NM,2013-02-28,14.0,light
CA,2013-02-28,13.0,formation
NV,2013-02-28,23.0,sphere
CA,2013-02-28,5.0,oval
WA,2013-02-28,24.0,oval
ID,2013-02-28,24.0,circle
NC,2013-02-27,15.0,unknown
CA,2013-02-27,39.0,light
FL,2013-02-27,47.0,fireball
NC,2013-02-27,12.0,unknown
CA,2013-02-27,6.0,triangle
VA,2013-02-27,16.0,circle
NC,2013-02-27,1.0,unknown
TX,2013-02-27,17.0,light
NC,2013-02-27,15.0,triangle
CA,2013-02-27,32.0,oval
PA,2013-02-26,35.0,unknown
NY,2013-02-26,14.0,light
CA,2013-02-26,28.0,triangle
MO,2013-02-26,26.0,fireball
TX,2013-02-26,33.0,oval
NE,2013-02-26,19.0,unknown
SC,2013-02-26,17.0,disk
NV,2013-02-26,33.0,circle
FL,2013-02-26,16.0,circle
GA,2013-02-26,35.0,light
TX,2013-02-26,18.0,fireball
NY,2013-02-26,15.0,sphere
PA,2013-02-26,19.0,triangle
CA,2013-02-26,4.0,unknown
FL,2013-02-25,1.0,light
MD,2013-02-25,24.0,chevron
OR,2013-02-25,38.0,sphere
NV,2013-02-25,22.0,oval
OH,2013-02-25,36.0,circle
OR,2013-02-25,10.0,unknown
CA,2013-02-25,13.0,light
GA,2013-02-24,36.0,unknown
NY,2013-02-24,45.0,circle
MI,2013-02-24,36.0,disk
TN,2013-02-24,18.0,triangle
PA,2013-02-24,43.0,light
IL,2013-02-24,5.0,sphere
IN,2013-02-24,11.0,cigar
SC,2013-02-24,13.0,formation
CA,2013-02-24,22.0,formation
CA,2013-02-24,32.0,light
CT,2013-02-24,25.0,sphere
AK,2013-02-23,48.0,light
MO,2013-02-23,33.0,triangle
AZ,2013-02-23,38.0,light
CA,2013-02-23,47.0,formation
SC,2013-02-23,6.0,light
CA,2013-02-23,4.0,sphere
CA,2013-02-23,12.0,circle
WI,2013-02-23,1.0,light
AZ,2013-02-23,7.0,cigar
VA,2013-02-23,37.0,triangle
CA,2013-02-22,23.0,sphere
PA,2013-02-22,48.0,fireball
CA,2013-02-22,34.0,light
CA,2013-02-22,3.0,light
ME,2013-02-22,4.0,fireball
CA,2013-02-22,17.0,unknown
FL,2013-02-22,23.0,circle
FL,2013-02-22,35.0,unknown
NY,2013-02-22,19.0,fireball
NY,2013-02-22,41.0,oval
OH,2013-02-21,6.0,diamond
MA,2013-02-21,34.0,circle
MN,2013-02-21,1.0,chevron
VA,2013-02-20,31.0,unknown
OH,2013-02-20,5.0,unknown
FL,2013-02-20,42.0,light
CT,2013-02-20,36.0,rectangle
CA,2013-02-20,25.0,sphere
FL,2013-02-20,33.0,fireball
WA,2013-02-20,13.0,light
SC,2013-02-20,3.0,formation
ON,2013-02-20,5.0,light
AZ,2013-02-20,32.0,circle
AZ,2013-02-20,11.0,circle
MA,2013-02-19,36.0,light
OR,2013-02-19,31.0,triangle
FL,2013-02-19,44.0,sphere
SC,2013-02-19,1.0,triangle
FL,2013-02-19,47.0,fireball
PA,2013-02-19,39.0,oval
TX,2013-02-19,46.0,disk
OK,2013-02-19,20.0,light
CA,2013-02-19,8.0,cylinder
QC,2013-02-18,4.0,circle
GA,2013-02-18,22.0,formation
IN,2013-02-18,6.0,light
WA,2013-02-18,30.0,fireball
LA,2013-02-18,10.0,oval
CA,2013-02-17,12.0,oval
KY,2013-02-17,15.0,circle
TX,2013-02-17,27.0,changing
OR,2013-02-17,8.0,fireball
IN,2013-02-17,9.0,triangle
AZ,2013-02-16,6.0,fireball
AZ,2013-02-16,32.0,oval
KY,2013-02-16,35.0,sphere
MN,2013-02-16,49.0,light
CO,2013-02-16,10.0,oval
CA,2013-02-16,34.0,circle
NY,2013-02-16,7.0,light
PA,2013-02-16,49.0,unknown
OH,2013-02-16,20.0,unknown
WA,2013-02-16,47.0,fireball
CA,2013-02-16,22.0,light
CA,2013-02-16,20.0,sphere
VA,2013-02-16,40.0,light
CA,2013-02-15,1.0,circle
AZ,2013-02-15,7.0,sphere
WA,2013-02-15,22.0,circle
IL,2013-02-15,40.0,fireball
IL,2013-02-15,29.0,fireball
MS,2013-02-15,18.0,circle
MO,2013-02-15,35.0,cylinder
IL,2013-02-15,40.0,light
TX,2013-02-15,14.0,diamond
CA,2013-02-15,42.0,circle
TX,2013-02-15,20.0,flash
GA,2013-02-15,10.0,light
GA,2013-02-14,8.0,light
CA,2013-02-14,35.0,formation
IN,2013-02-14,26.0,light
TN,2013-02-14,5.0,light
TN,2013-02-14,25.0,unknown
TX,2013-02-14,14.0,unknown
CA,2013-02-14,41.0,changing
TN,2013-02-14,7.0,sphere
OR,2013-02-14,28.0,light
TN,2013-02-14,20.0,fireball
VA,2013-02-14,40.0,chevron
WA,2013-02-14,31.0,sphere
OR,2013-02-14,44.0,light
TN,2013-02-14,31.0,sphere
WY,2013-02-14,19.0,circle
CT,2013-02-14,43.0,formation
BC,2013-02-13,28.0,light
GA,2013-02-13,46.0,light
IN,2013-02-13,23.0,light
OR,2013-02-13,27.0,sphere
NC,2013-02-13,38.0,unknown
SC,2013-02-13,32.0,light
FL,2013-02-13,18.0,sphere
CA,2013-02-13,7.0,light
NC,2013-02-13,18.0,sphere
IL,2013-02-13,42.0,circle
TX,2013-02-13,31.0,light
BC,2013-02-13,28.0,rectangle
NJ,2013-02-13,31.0,unknown
FL,2013-02-12,1.0,circle
CA,2013-02-12,22.0,formation
